HCPCS_CODE,in_hcpcs_2026,in_hedis,in_either,in_comprehensive
0509T,FALSE,FALSE,FALSE,TRUE
0510,FALSE,FALSE,FALSE,FALSE
0511,FALSE,FALSE,FALSE,FALSE
0512,FALSE,FALSE,FALSE,FALSE
0513,FALSE,FALSE,FALSE,FALSE
0513F,FALSE,FALSE,FALSE,TRUE
0514,FALSE,FALSE,FALSE,FALSE
0515,FALSE,FALSE,FALSE,FALSE
0516,FALSE,FALSE,FALSE,FALSE
0516F,FALSE,FALSE,FALSE,TRUE
0517,FALSE,FALSE,FALSE,FALSE
0517F,FALSE,FALSE,FALSE,TRUE
0518F,FALSE,FALSE,FALSE,TRUE
0519,FALSE,FALSE,FALSE,FALSE
0520,FALSE,FALSE,FALSE,FALSE
0521,FALSE,FALSE,FALSE,FALSE
0521F,FALSE,FALSE,FALSE,TRUE
0521T,FALSE,FALSE,FALSE,TRUE
0522,FALSE,FALSE,FALSE,FALSE
0523T,FALSE,FALSE,FALSE,TRUE
0524,FALSE,FALSE,FALSE,FALSE
0525,FALSE,FALSE,FALSE,FALSE
0525C,FALSE,FALSE,FALSE,FALSE
0525F,FALSE,FALSE,FALSE,TRUE
0526F,FALSE,FALSE,FALSE,TRUE
0528F,FALSE,FALSE,FALSE,TRUE
0529,FALSE,FALSE,FALSE,FALSE
0529F,FALSE,FALSE,FALSE,TRUE
0531,FALSE,FALSE,FALSE,FALSE
0540F,FALSE,FALSE,FALSE,TRUE
0545F,FALSE,FALSE,FALSE,TRUE
0550,FALSE,FALSE,FALSE,FALSE
0551,FALSE,FALSE,FALSE,FALSE
0551F,FALSE,FALSE,FALSE,TRUE
0552,FALSE,FALSE,FALSE,FALSE
